id,mass,x,y,z,vx,vy,vz
0,14.9194,0.505067,6.32368,3.28761,0.0288753,0.0608668,-0.0904077
1,93.6483,0.290473,6.59604,4.36504,0.0803838,-0.0408011,0.0703519
2,56.2996,1.59058,-8.82475,-8.78897,-0.00076372,-0.0614978,0.0806463
3,44.2239,-3.66052,-9.89289,2.24786,0.0747263,0.021674,0.0894431
4,78.4564,-3.49617,6.16558,4.92426,0.0601628,0.0170729,0.0129295
5,99.6686,5.57004,-7.66211,3.0655,0.0682313,-0.0837033,-0.0244494
6,25.0011,1.81337,1.33028,-8.12123,0.0705334,0.0250332,0.0185085
7,12.1228,-3.53094,-7.07148,-0.335641,0.0259417,-0.0929471,0.0530206
8,88.6422,4.11334,-5.30228,7.08713,0.0962845,-0.0249211,-0.0491331
9,33.8011,2.83668,-2.10198,3.89095,0.013458,-0.0728176,-0.052411
10,29.3359,3.15425,-7.09182,3.08773,-0.0648731,0.0728539,-0.0181221
11,75.173,5.01458,6.07809,8.27492,0.0816633,-0.0451821,0.0341154
12,62.5663,3.22912,4.42327,-2.54626,0.0930054,-0.0715315,-0.0429415
13,99.5277,5.7118,-0.481138,8.8826,0.0571445,-0.0702531,0.0381433
14,72.5568,5.4215,-6.26931,9.68876,-0.0294151,-0.0232283,-0.0904988
15,40.3307,-8.14545,8.11803,0.736713,-0.0891641,0.0878068,-0.0973652
16,2.45747,-5.4949,3.79534,9.66767,-0.0738443,0.0206432,-0.0207314
17,51.5341,9.61666,-5.87229,-3.64987,0.0444124,0.0811989,-0.0399939
18,46.3124,-3.55634,-3.47921,-2.80031,0.0681801,0.0139637,-0.0176903
19,94.1241,-1.63733,-8.32356,2.20584,-0.0867113,-0.0163491,-0.0670067
20,90.7167,1.98545,3.76581,-0.0563868,-0.00575638,-0.0285499,0.0233662
21,57.4061,-2.74499,8.32813,4.26466,-0.028834,0.00743455,-0.0333574
22,66.908,4.03329,9.67698,-4.74043,-0.0367172,0.0144913,0.00346572
23,88.0964,-9.59958,0.391797,-9.00306,-0.0384363,0.0842306,-0.078923
24,51.1585,-6.36226,-4.04865,3.52741,-0.0543496,-0.0126264,0.0859154
25,30.1739,-4.32911,-8.02223,9.40066,0.0968857,0.00101412,0.0372913
26,68.7982,-2.19533,-0.95655,-2.3491,0.0822242,0.044047,-0.0839929
27,56.7746,9.54451,-8.35509,3.463,-0.00225423,0.0713373,0.0529291
28,19.245,-0.725652,0.850651,6.32868,0.0670161,-0.0438128,-0.0518577
29,90.8079,0.597222,-2.8493,-4.69127,0.0699814,0.0418646,0.00438318
30,66.472,2.32521,-9.22298,3.0151,-0.0346441,-0.0669535,0.0596451
