id,mass,x,y,z,vx,vy,vz
0,34.4977,-5.90631,-4.27772,5.84273,0.0848123,-0.0697925,-0.0655632
1,32.8422,4.91041,-9.93737,-3.32963,0.0138869,-0.0923526,0.0805163
2,8.38276,-8.11692,-0.66088,4.91127,-0.0577901,0.0936041,0.0680603
3,31.0771,-0.736749,9.34804,1.01399,-0.000187222,0.0814498,0.0478303
4,14.4328,4.70151,1.84791,-3.46564,-0.0494259,0.0197083,-0.0670588
5,53.8438,-9.76117,0.462615,-8.62696,-0.0456355,-0.00991022,0.0201412
6,70.7898,-6.77565,-0.932445,-1.3406,-0.019005,-0.0367282,0.00135016
7,44.6094,2.5968,-1.80721,-1.15264,0.0681313,0.0727874,0.0410932
8,17.4044,-2.50945,-8.5121,-0.407396,0.0553668,-0.076593,0.00404085
9,58.6898,-6.74671,1.63648,6.92193,-0.0337109,-0.0147447,0.094051
10,90.3985,-3.31624,6.79475,-8.00473,-0.0469134,0.0683832,0.0843641
11,35.8467,7.00542,6.4271,9.84938,-0.082121,-0.040076,0.025745
12,80.5171,-1.97187,8.7639,7.21646,0.0453668,-0.0954683,-0.0927486
13,20.6847,-6.18221,-6.48377,7.6144,-0.015554,0.00820378,0.0674094
14,92.514,8.56636,-9.09846,-1.60862,-0.0988422,0.0792824,0.0555174
15,8.54744,2.42689,-1.11015,9.29721,-0.0697744,0.0631952,-0.00832012
16,64.9059,-3.53872,-9.39722,-8.90394,-0.0952839,-0.0886103,0.0940425
17,67.8449,0.814467,0.826582,-1.68538,0.0723042,0.07921,0.0553711
18,51.7216,-2.71598,5.1668,-9.08855,0.0341512,0.0994331,-0.023173
19,88.1392,4.65053,-6.84874,2.00691,-0.0994239,-0.0610916,-0.00850774
20,8.96988,-0.462886,-6.31176,-4.19112,0.0229973,0.0799376,-0.0100171
21,63.0631,3.42664,-3.37675,-2.66057,0.0973399,0.0736867,-0.0415147
22,20.3735,-6.65984,-5.95877,-9.59527,0.099998,0.073774,0.0984701
23,80.1784,7.04126,-2.7512,9.48657,0.0596703,-0.057362,0.00752772
24,44.799,6.57973,-6.55167,-9.85713,0.0836952,0.0219483,0.0435461
25,52.6765,-6.50292,2.30698,-5.91634,0.0455454,-0.0931268,-0.0130374
26,3.22309,-7.85678,1.81758,3.69309,-0.0398951,0.0560441,-0.0845039
27,57.8777,1.33668,8.33134,0.626323,0.0774621,-0.00226726,-0.0783488
28,94.3707,0.723829,-6.52611,0.354692,0.00660566,0.0131485,0.0847715
29,13.9488,-6.68136,6.43469,9.75788,0.0745197,0.00454344,-0.0934505
30,64.267,-3.58534,-5.79357,8.70461,-0.0317174,-0.0654376,-0.0896416
31,58.9813,-4.87608,3.33822,-7.55443,0.054001,0.0761499,-0.0102511
32,2.41132,8.83086,8.10964,-5.37891,0.096468,0.0903051,-0.0109399
33,4.53152,-6.78575,-3.49323,0.492349,-0.0240073,-0.0291778,-0.0896548
34,36.7266,7.05607,9.84045,4.55285,0.055115,-0.0174492,0.021723
35,28.3065,6.44472,-1.98428,9.00371,-0.0907723,-0.0680665,-0.0785029
36,61.2353,8.98918,0.188669,-5.86701,0.0331551,-0.0945756,-0.0855763
37,89.4533,2.06027,-4.05895,2.36277,-0.0366882,-0.0235216,-0.0141103
38,92.8316,-2.19746,-8.32013,0.226444,0.011066,-0.00334514,0.0228819
39,70.1043,-6.9161,5.24941,1.89868,0.032975,0.0962159,-0.0337541
40,13.6167,-7.37911,5.33879,7.59907,0.0867291,0.0516619,0.0291432
41,26.481,-0.688298,-0.255249,-6.74765,0.0637085,-0.0250559,-0.0459303
42,80.2383,-5.93412,9.22541,5.36436,-0.0363539,-0.0685184,-0.0967659
43,88.1964,-6.42858,9.85256,-4.6411,-0.0671077,0.0075572,-0.0421805
44,53.3057,6.66758,4.74239,-7.7531,-0.0373095,0.013481,-0.0689764
45,66.151,2.73513,-7.63818,7.34153,-0.0625601,-0.0773716,-0.0658855
46,20.2039,2.87468,2.73668,2.31698,0.0349122,-0.0739104,0.0403241
47,51.8365,-2.18002,9.37698,-1.79189,-0.0309097,0.0138071,-0.0134992
48,65.8482,-2.82318,6.27828,-9.9147,-0.0951544,0.086453,0.00779603
49,67.1066,8.5705,1.6236,7.19831,-0.0499871,0.0961642,-0.0418241
50,43.0931,5.06874,-8.89615,-2.3523,-0.0120952,0.0517059,0.0553574
51,25.2413,-8.45618,-6.0121,8.24145,0.0279692,0.0853767,-0.0248679
52,54.7623,-1.1084,6.17683,-5.80066,0.0661776,-0.0956032,0.0956339
53,89.8251,2.87896,0.824475,2.04912,0.0328251,-0.097388,-0.025875
54,16.0093,8.33425,2.17432,-3.95895,0.0495102,-0.0745787,0.00376226
55,54.62,7.3012,5.61113,9.37715,-0.00566695,0.0538665,0.0907581
56,24.7058,-8.69367,-3.57677,-8.82908,-0.0722209,-0.0792393,0.00128212
57,37.2708,-6.96516,4.90195,5.05815,-0.0453073,0.0738811,-0.00421503
58,79.9382,-1.50677,7.50107,-1.4488,-0.0151657,-0.0752175,-0.092942
59,49.8377,7.02897,-0.856029,-9.30876,0.0542858,-0.0684813,-0.0865134
60,5.35925,-7.91828,-0.782616,6.28067,-0.0631957,0.0354459,-0.00909748
61,66.9683,1.43889,-6.81237,-2.77503,-0.00689527,0.077697,0.011008
62,35.2405,8.92668,7.79819,-2.76811,0.0952016,0.0904363,0.00746668
63,81.8296,-3.39812,-0.910177,5.43322,0.0133202,0.0260134,-0.0534779
64,41.235,7.58771,-5.77337,1.08306,0.0560386,0.031139,0.0837499
65,26.9377,-9.48733,3.84911,-9.04124,0.0779086,0.063575,-0.0198939
66,35.8148,4.44181,-4.74143,5.46672,-0.0270752,-0.0975828,-0.0792727
67,20.5881,-5.39927,-0.696111,-4.3546,0.0805247,0.0605313,-0.0353967
68,48.5871,2.04882,5.36541,-1.07712,0.0578357,0.0187298,0.0222465
69,4.01371,5.90789,5.9429,-3.0272,0.0950104,-0.0963571,-0.0816838
70,73.2084,-0.554331,9.76413,8.72317,0.0475239,-0.0340293,0.0759306
71,31.1876,6.93919,6.52811,-3.40851,0.0669808,-0.0451106,0.083693
72,8.14695,0.326933,-6.53752,2.09213,0.0815249,0.0632007,-0.0327375
73,31.5134,1.13981,-4.0106,-8.93968,-0.0116192,0.0155131,0.0464112
74,23.7319,-8.53347,-9.26324,4.07523,-0.00385082,-0.025268,0.099499
75,26.3194,-4.39387,5.65414,7.30318,-0.0438214,0.036599,0.089854
76,85.3198,1.88333,8.525,9.21698,-0.0125704,0.000680002,-0.0104388
77,27.8626,-9.21793,9.37411,4.70009,0.0242685,-0.0385715,-0.0738174
78,26.5162,-3.33041,-3.37499,-5.57327,0.0814893,0.0513524,0.005389
79,90.7818,-8.71115,-0.285074,8.03424,0.0879388,-0.0458875,0.00598685
80,36.7708,4.88927,-0.173695,-6.15555,0.0478764,-0.0183911,-0.0947717
81,98.0561,-5.3119,6.63436,-3.84183,0.0665321,0.0216752,0.0139447
82,2.54335,9.19423,8.61726,7.45555,0.0804738,0.0802979,0.0496859
83,57.7962,8.47643,-7.11885,-0.759645,0.0373935,-0.00184078,-0.0513931
84,17.9754,-2.13305,-1.8168,-6.55442,0.080465,0.0203443,0.0189212
85,39.7288,7.7034,-9.34347,-9.12686,0.0852478,0.00216273,-0.0939693
86,61.8283,-8.56807,-3.0277,-6.35593,0.0591976,0.00646722,-0.0838587
87,47.6373,-0.91213,9.98363,2.00224,-0.00869294,-0.0240772,-0.0103529
88,88.7882,-2.35474,-7.06571,-1.69914,-0.0436951,0.0242083,-0.0206304
89,91.4674,8.09069,6.60369,5.33444,-0.024213,0.00790127,-0.0174139
90,25.4913,4.05438,3.63034,9.56316,-0.073458,-0.0195165,0.0957749
91,33.7305,-6.16679,1.72886,5.98515,0.0758721,0.0199462,0.0523412
92,10.0464,-1.71242,-4.15899,-4.72458,0.030682,-0.000316311,-0.0727579
93,92.7562,-3.70797,5.71344,1.44336,0.0677363,0.0962582,0.0690712
94,70.2683,-1.41168,-1.78152,-0.770328,0.0593451,-0.00171521,-0.0391924
95,59.0231,-5.64939,8.01971,1.21033,0.0854064,-0.0602333,-0.0854855
96,41.488,-6.25608,-3.02195,-4.13244,-0.0995027,0.00219854,-0.0469726
97,72.8747,-9.98831,-8.77578,1.63597,0.0229549,-0.0490071,-0.0340603
98,86.5269,5.06583,7.39715,-2.26737,0.0764485,0.0373974,-0.0864665
99,95.2659,-7.46592,0.56527,-1.31419,0.0591241,0.0409102,0.0136701
100,76.7103,6.31008,7.25078,-5.1636,-0.0455022,-0.0633632,0.0171647
101,8.50341,4.87114,-7.45866,-1.15011,0.0575718,0.067731,-0.0517036
102,1.70003,9.68298,4.5263,8.11881,-0.0913976,-0.00443586,0.0231398
103,35.8549,-1.81858,-9.55435,4.59852,-0.0106217,0.0134623,-0.000833444
104,39.2991,-6.94647,8.78621,-5.06948,-0.0653767,-0.0130207,-0.000298962
105,59.3594,3.5028,-0.647417,-8.55663,-0.0173471,-0.0965015,0.00694482
106,87.3839,6.82107,0.223284,4.95784,-0.0770106,0.023575,0.0488627
107,97.6752,5.9237,-1.07495,6.66327,0.0970323,-0.0187078,-0.0895123
108,28.0896,6.37023,-2.44817,-4.90895,0.0187805,-0.00577936,-0.0835372
109,9.49716,-2.66372,3.86569,0.705444,0.0998532,-0.0571757,-0.0463103
110,52.679,0.667666,-8.70723,6.25452,-0.0373738,0.0775732,0.0685284
111,75.5073,-5.65174,2.29623,5.48545,0.0319079,-0.0905626,-0.0525583
112,90.932,8.48146,-9.45426,-0.604646,-0.071207,0.0696607,0.00911472
113,99.591,-4.22982,-8.03774,-0.0559852,-0.0993263,0.0725079,-0.0759903
114,50.2472,-5.82336,1.88224,-1.57819,0.0919676,-0.0986704,0.00300194
115,54.5133,6.63007,-3.39128,-9.51431,-0.0542857,-0.00930162,-0.0972178
116,69.9388,3.23298,4.46831,-2.3727,0.0858299,-0.0108432,-0.010109
117,13.3067,-9.45362,1.63094,0.401881,-0.0481738,0.0401183,0.033919
118,64.1504,1.88537,1.5079,3.25488,0.00807457,0.0564674,0.00171341
119,99.1549,1.9067,-3.41939,-6.20286,-0.0201489,-0.0728872,0.0395976
120,35.9082,-8.78893,9.77108,1.3959,0.0404382,0.0470501,-0.00456932
121,37.4379,-5.15374,-5.64529,-0.0830905,-0.015422,-0.0899345,-0.0654209
122,35.8721,9.40223,-9.30744,-1.04282,-0.00277348,-0.0078571,-0.0117793
123,11.7369,-6.36082,-6.29294,6.12981,-0.0476551,-0.0034622,0.0185822
