id,mass,x,y,z,vx,vy,vz
0,74.9048,-1.84204,-0.246116,-8.1328,-0.00278376,0.0573041,0.0811999
1,62.5582,-3.58544,3.14607,5.97333,0.0589356,-0.0559647,-0.088544
2,13.5066,4.04253,1.81258,-7.1971,0.00720224,0.0398374,0.0675772
3,55.926,5.71481,-4.10955,-5.93573,-0.0463871,-0.050589,0.0834617
4,6.42633,-1.83817,-7.31493,-1.61683,-0.0418717,0.0754552,0.05496
5,46.4198,-5.35775,7.53464,3.73462,-0.0137895,-0.00602745,-0.0476879
6,31.2827,8.18659,3.22347,0.365063,0.0610205,-0.0951212,-0.0619161
7,25.4758,-8.93768,-8.35492,9.04413,-0.03261,0.0844109,0.00480655
8,27.5015,2.79184,-9.34803,-2.52067,-0.0325476,-0.0375061,0.0668974
9,72.5697,-7.05614,9.55319,8.90783,-0.0324381,0.0705717,0.0446513
10,88.9845,3.59541,-5.18076,-8.96289,-0.031076,-0.0733998,0.096125
11,24.8777,3.15005,-8.84348,0.803306,0.0197321,0.0404466,-0.0121314
12,22.5039,-7.13967,-4.92625,-7.80465,0.0121452,0.0517924,0.0485479
13,70.2415,-0.924712,-3.74941,-3.79798,0.0548887,-0.00691979,0.0250094
14,29.4524,5.03957,-7.92445,-2.59386,-0.048232,0.0516721,0.0537109
15,23.1928,-6.40256,0.520266,9.44791,-0.0049543,-0.00951513,-0.0795059
16,57.7542,-3.1504,-0.046239,-0.964131,0.0440061,0.0281094,0.0973264
17,65.0824,1.06711,2.04876,-4.55073,0.0822742,0.024971,0.00696786
18,43.0532,-1.55407,8.20694,-8.80996,0.0664524,-0.0272077,0.00357313
19,92.1314,3.45333,7.45875,9.10342,-0.0830315,-0.0419966,-0.0586573
20,35.3093,-8.35619,6.18838,5.45463,-0.0170833,-0.0739496,-0.0284661
21,10.4392,-2.96948,-7.82185,4.17533,-0.0448685,0.0279469,-0.0521613
22,92.7278,4.54271,5.05373,-9.16786,0.0995825,-0.064134,-0.0568981
23,73.6584,-9.26372,-8.72605,9.86654,-0.0184778,0.0628897,-0.0479259
24,61.0427,-1.98252,8.69579,7.9283,-0.0359278,-0.0538958,0.0664763
25,83.1208,-9.10385,-3.6024,9.01939,-0.0677201,0.0366827,-0.0707475
26,23.42,1.63207,2.97747,2.16007,0.00111469,-0.092617,-0.099121
27,36.7954,-4.63384,-5.90637,-0.356044,-0.0647646,0.0969316,-0.00760148
28,12.9057,5.30049,9.3932,6.46502,-0.00179255,-0.0240026,0.0895223
29,49.1368,9.62057,5.84555,-9.12694,0.0318505,0.0430536,-0.0139534
30,33.3273,1.75877,1.07594,3.86812,0.00236257,-0.0954371,-0.047628
31,15.6643,4.0951,8.08936,-8.92602,-0.0858124,-0.0116653,-0.0606648
32,44.8108,0.20714,7.09974,-1.25832,0.0843511,-0.0382427,-0.0835276
33,30.6867,-6.35335,-4.50204,-3.12436,0.0551864,-0.0413052,-0.0777514
34,31.087,-2.82814,-6.32628,1.67236,-0.0696313,-0.000774743,0.00410047
35,31.6808,-6.50092,3.27805,3.90438,0.0195818,0.0933776,-0.0473187
36,8.01539,8.42079,-9.78718,1.68656,0.012108,-0.0701029,-0.0779998
37,84.6193,7.77601,-6.32295,-4.70497,-0.0865244,-0.0433131,-0.0748682
38,48.9613,-3.0351,-1.43867,7.89867,0.0311102,0.00172377,-0.015184
39,38.4143,2.5868,-3.40259,7.56734,-0.000811799,-0.0793539,0.018091
40,36.9392,-0.724236,5.98993,7.97047,-0.0695106,0.0858044,0.0676235
41,14.1205,-3.3504,0.538043,9.70378,0.0157049,-0.0624645,0.0177953
42,20.7825,0.951865,7.75462,-4.11726,0.0190297,0.0169004,0.0651067
43,81.9362,3.81331,-1.30925,-8.07286,-0.00535591,0.00169621,-0.00783374
44,99.0318,-6.54355,-0.110462,-3.16185,-0.011817,0.0414712,-0.00962131
45,6.66114,2.17511,-7.88777,8.71919,0.0596866,0.0317786,0.0966831
46,24.0711,7.01189,1.37549,4.94929,-0.0871661,-0.0795747,-0.0610703
47,97.1926,-3.44605,1.62292,4.24439,-0.0713981,-0.0524783,-0.0215248
48,91.4201,9.13998,-7.60983,-0.718481,0.0633578,0.0685729,-0.00850263
49,28.1436,6.61449,-4.74231,4.83631,-0.0584746,-0.0556295,-0.0841134
50,27.6897,-5.10157,-9.84754,-1.6985,0.0598667,0.0963797,-0.0263752
51,79.1806,7.37211,8.77547,-9.25979,-0.0358431,0.0637585,0.00986454
52,49.8549,-2.88643,-7.86857,-1.06771,0.0309695,-0.0640316,-0.00724987
53,61.8547,5.4638,-6.60618,7.85787,0.0115543,-0.0595402,-0.00420572
54,25.3555,-3.25649,-9.37523,9.95712,-0.0294343,0.0974254,0.0979281
55,24.7214,-0.672933,-8.38125,-8.80524,0.0804419,-0.0737988,-0.0438264
56,43.4196,5.02405,2.48579,5.10081,0.0220567,-0.0680516,0.00648002
57,65.7748,4.76896,4.72056,-8.44365,0.0148002,0.0657399,0.0386779
58,58.9536,0.939759,-7.27769,1.43112,0.00870177,-0.0989923,-0.051537
59,83.4099,8.83383,-4.95982,1.17099,0.0978147,-0.0385575,0.0864881
60,20.9139,3.5557,3.10354,-2.07644,0.0827161,0.0854832,-0.0727999
61,75.8231,0.903288,-2.27136,5.17566,0.0841586,-0.0578738,-0.0345818
62,23.9609,4.48237,6.99151,-7.15607,-0.00519112,0.0276704,-0.0195099
63,92.0806,-3.18583,-7.03237,-3.90305,-0.0563949,0.0711496,0.0930461
64,19.9817,-0.419499,-3.88739,-3.36978,0.00871098,0.0781858,0.046647
65,58.6646,2.33748,-9.7134,8.19729,0.0841633,-0.087631,-0.0446262
66,10.7529,-0.928786,-6.73382,-1.91897,-0.0270925,0.0939891,0.053885
67,30.9377,3.12543,-5.66177,-1.37758,-0.0615784,0.0625369,-0.060618
68,53.088,-0.724241,9.2327,-8.62035,-0.0766407,0.0937363,-0.00459151
69,51.0459,9.64614,-5.84253,1.44416,0.0684365,-0.0737414,0.0125394
70,77.9051,-1.61152,-7.2457,-4.11669,-0.0553755,0.0597754,-0.069052
71,15.2889,5.77545,-7.63478,3.63754,-0.0309455,0.0317878,-0.0300411
72,92.0256,0.0763425,-8.29785,-3.86678,0.0821945,-0.00995619,-0.0896861
73,6.40655,5.94199,7.94747,-2.90462,-0.0638495,0.0179479,0.0099373
74,54.9873,5.98936,6.2474,-9.11973,0.0651764,-0.0232205,-0.0378714
75,17.3118,-0.728387,-0.667682,-7.91228,-0.00548848,-0.00577976,-0.0813862
76,93.86,0.462487,5.31775,7.87423,0.0761355,-0.0629649,0.0563627
77,91.4024,8.52203,-5.63846,-5.78569,0.0688335,-0.00641871,0.0805884
78,83.1562,0.171281,0.0296037,-9.45867,-0.0509621,-0.0602396,0.0100683
79,71.8245,0.237293,-4.45064,-7.91714,0.0987306,0.0385914,0.0544515
80,78.1105,-5.37799,-8.13591,3.53622,-0.0875826,0.0603982,0.0421027
81,95.0089,-1.63764,4.526,-4.29348,0.0246681,-0.0394419,0.082948
82,52.8067,-9.23261,-9.56398,-9.8424,-0.0671725,0.0551791,0.0207864
83,36.5513,-5.85411,5.47864,8.10028,0.0902383,-0.0427373,-0.0926794
84,35.5799,4.20647,-3.72926,-6.17636,-0.0898158,-0.0236666,-0.0390698
85,38.3908,-4.58553,3.52017,5.68197,0.0773295,-0.0108249,0.0517582
86,62.2844,-6.52466,-3.47713,5.05089,-0.0866461,-0.0334492,0.00408338
87,71.152,1.71925,-9.78728,3.74152,0.089324,-0.0252238,0.0224896
88,19.4529,-2.17376,6.22667,-4.36513,-0.0817516,-0.0659732,0.0940233
89,82.7956,-7.22471,1.67024,5.16681,-0.00870796,-0.0901491,-0.0936786
90,19.5595,5.60489,2.32543,3.42895,0.0154049,-0.0124599,-0.00826691
91,34.0755,1.54075,-2.2957,-0.0717212,-0.0144217,0.0947905,0.0370528
92,9.47443,-6.7555,-4.09527,7.79097,0.0847782,-0.0606262,-0.0636025
93,40.848,-7.63937,9.2478,-9.05834,-0.0492225,0.0116032,0.0474645
94,11.4094,-2.38103,-7.56602,-5.81999,-0.0391716,0.00153559,-0.081194
95,67.7603,-5.13643,5.95479,-2.62456,0.0289335,-0.0474012,0.00604621
96,82.9666,-1.95583,3.95035,0.167322,-0.0832132,-0.0160994,-0.0839726
97,74.1326,8.43578,-8.56697,-6.90909,0.0440506,0.0696007,0.0249212
98,86.4633,6.36618,5.50253,0.0539287,-0.00534871,-0.0564618,0.0358595
99,11.7007,-4.16891,-1.32595,0.265434,0.093934,-0.0998253,0.00333697
100,40.0944,1.69831,-2.86419,6.7824,-0.0570348,0.06241,0.0107018
101,40.6534,5.43663,8.12485,2.80324,0.0321742,-0.035669,0.00103993
102,96.4891,-0.919759,-6.53767,-9.45674,-0.010049,0.035108,0.0846755
103,96.0553,6.18755,-1.48182,8.71675,0.015097,-0.0463602,-0.0729246
104,34.8264,-3.2656,-9.46222,7.04105,0.0947834,0.0830465,0.0915107
105,86.6801,7.61444,9.81601,-4.48588,0.00858291,0.0256905,0.0728561
106,58.0403,7.09122,-9.45606,3.01326,0.0593217,-0.0624259,-0.00142128
107,48.4353,-3.59027,-2.30461,-8.72537,0.0640922,0.0479385,-0.0290471
108,17.375,8.98023,1.4059,-6.94535,-0.0734802,0.00199087,0.0393621
109,55.1416,3.19476,2.36706,-8.21493,-0.0799261,0.0466416,0.0572175
110,12.0615,-9.10868,-4.60788,7.41166,-0.00843245,0.00212866,-0.0931975
111,78.5966,9.15821,6.93981,7.32606,0.033547,-0.0227791,-0.0829912
112,6.42473,-8.49178,4.64395,9.78964,0.0445671,-0.050107,-0.0937581
113,88.4858,-5.67139,-8.54641,-0.523809,-0.0417103,-0.0496955,-0.0561705
114,96.6898,1.97208,-1.74024,4.75821,0.050825,0.0945931,0.0144515
115,88.2518,-8.43487,5.30705,-1.80291,-0.00368897,0.0376584,-0.0142717
116,1.08676,-8.42434,6.84846,-4.37333,0.0576999,-0.0811758,-0.00655513
117,12.9101,-7.28326,3.87079,2.81254,-0.0342709,0.0814401,-0.000446931
118,36.1618,4.54118,7.12281,-6.33262,0.0300543,0.0574761,-0.0456095
119,3.36869,4.16332,-0.502681,2.70733,-0.0390956,-0.000918578,-0.0150451
120,29.9392,-0.234867,-5.11792,-9.27262,0.0977473,0.00201234,-0.0418708
121,22.0075,-8.38216,9.61397,-4.90487,-0.096238,0.0902363,0.0802364
122,76.5357,7.32386,2.59426,7.22964,0.0352311,0.0259874,-0.0197307
123,91.5556,-1.72239,0.159606,9.79856,0.0135566,0.0519877,-0.0843946
124,2.46929,6.10917,-9.72543,7.46548,0.0950983,-0.0484933,-0.0790997
125,57.8699,0.827639,-1.47936,9.03354,0.0215591,-0.0309052,0.0416661
126,42.914,-4.36969,7.22911,-5.3862,0.0486194,0.0653087,0.080593
127,78.7715,7.35531,-9.39273,-9.14753,-0.0552956,-0.0858809,0.0718342
128,57.1281,-6.52686,-6.26012,-3.04236,-0.0831615,0.0552181,0.0225608
129,11.2884,0.172742,7.46385,8.33571,0.0372965,0.0400827,0.0944671
