id,mass,x,y,z,vx,vy,vz
0,17.8169,-9.51047,9.09776,-3.23515,-0.0789834,0.0331806,0.017023
1,26.2444,8.33073,2.56281,5.61149,0.0387395,-0.0903458,0.0646885
2,14.8031,-2.0595,0.470737,-8.78247,0.0768278,0.0310945,-0.0587309
3,55.6073,3.4153,-0.219856,-6.71764,-0.0289923,-0.0868349,0.0997084
4,25.648,-8.39918,-1.51819,-3.14274,-0.0297836,0.00240693,-0.0239508
5,59.823,7.21108,7.97968,-8.33749,-0.0335993,-0.0776563,0.0761348
6,26.7338,5.23202,-8.99517,-7.27772,-0.0747293,-0.0567262,0.0711106
7,11.1534,-5.1455,9.86917,4.66526,0.0845309,0.0555586,-0.0987868
8,12.604,-6.2715,-5.26511,0.444957,0.0252852,0.0304702,0.0540293
9,63.5865,-3.58389,-3.76491,-9.57241,0.0470203,0.095801,-0.0473042
10,18.7524,-8.22265,5.25895,6.16441,-0.0645398,-0.0626507,-0.0931187
11,11.2725,-3.1993,9.9272,0.587343,-0.0542019,-0.012163,-0.0927191
12,55.6657,5.85612,2.94064,-1.95951,0.0229453,0.0871746,-0.0154518
13,29.188,-0.590254,-5.333,9.49797,-0.0742982,0.040372,0.0992243
14,83.0788,2.30659,0.72184,-4.44259,-0.0471333,0.0457078,-0.0433923
15,81.3072,-9.16924,3.23583,8.55452,-0.0971912,-0.0520471,-0.0783716
16,41.1386,7.69235,-6.90411,-2.39952,-0.0179499,0.0223743,0.00276157
17,45.1902,8.50041,-3.36954,-8.20511,-0.0467583,0.00405992,0.0865496
18,83.5339,-4.70118,8.65652,2.6974,0.0057089,0.0587144,-0.0600683
19,47.9886,-9.45998,-2.18249,-8.96829,0.0545042,-0.0956916,0.0730199
20,69.7114,1.50634,-4.91269,-1.64747,0.0997991,0.0188813,0.09303
21,36.1196,5.62378,-1.57549,-5.26938,0.0317233,-0.0242933,-0.0686921
22,83.6025,6.08404,-7.0861,-9.84172,-0.0352289,0.00866469,-0.0955179
23,28.7713,3.55342,8.20976,2.72496,-0.0514808,-0.0946883,0.0148379
24,17.0629,2.87056,8.96135,-9.45208,0.0316297,0.0581856,-0.040064
25,17.5624,4.41441,-3.36855,-1.707,-0.035994,0.0253229,0.058528
26,88.7845,5.88618,-5.65601,-8.58155,-0.0863407,-0.0258527,0.0267815
27,82.2004,-8.66548,-6.59485,-1.81347,-0.0627739,-0.069953,0.0333757
28,81.3762,6.61937,-8.39751,0.449916,0.0778732,-0.035561,0.0393763
29,13.8624,-1.65913,1.7052,-9.63419,-0.0373043,0.0480728,0.0513165
30,45.8102,-3.84033,-3.80869,-5.04962,-0.0144578,0.0376934,0.0640375
31,55.7482,-4.566,-0.0451643,-0.643638,-0.034436,0.0307225,0.0844435
32,85.1997,2.92709,1.75369,-5.88862,-0.0232992,-0.0501654,-0.0802295
33,3.75731,6.10798,9.78502,9.28814,0.0749726,-0.0431666,0.0455753
34,57.3475,9.74705,-5.26647,4.27132,0.0300576,-0.0200724,-0.0899757
35,48.3868,-2.41756,-1.08579,-8.39012,0.0954275,0.0741472,-0.0369259
36,75.3567,9.40432,-6.48963,6.38387,-0.0472603,0.0611432,-0.0804101
37,24.4566,-3.49594,6.55799,-6.4665,-0.0962038,-0.0952223,0.0435341
38,72.1775,8.54364,-6.47889,3.3736,-0.0165942,0.0926836,0.00157779
39,72.7945,5.55831,-7.71086,9.88022,0.00463225,-0.0468162,0.0750656
40,47.1887,1.52589,7.77339,6.345,-0.0468841,0.0524435,-0.068302
41,46.622,5.6049,8.40426,-4.27734,0.0542062,0.00199314,0.0564604
42,15.5974,-7.69776,8.32748,-4.08509,-0.0864316,0.0643057,-0.0774778
43,88.8036,2.27918,0.630621,6.25163,-0.0626076,-0.0142598,0.0541598
44,23.7952,0.843849,2.81726,-0.944935,-0.0499908,0.0158446,0.07565
45,81.5586,-7.35023,-5.43867,-1.2641,-0.081827,0.0437239,0.0412072
46,67.1399,9.25138,4.64501,7.19,-0.0781883,0.0323587,-0.0397911
47,13.4561,5.66189,9.5984,3.79832,0.0102432,0.0823544,0.0667091
48,59.8229,-7.98619,4.01155,2.04047,-0.00279362,0.0789504,0.0409703
49,66.3295,7.23322,4.25477,-4.57401,0.0437512,0.0713654,-0.0754961
50,4.01795,-0.148932,-8.05296,8.59564,-0.0770803,-0.0079654,0.0694112
51,71.0838,3.74598,4.79794,-2.39043,-0.0515262,-0.0944194,0.0414461
52,91.3414,4.54156,5.65974,-4.03409,-0.0687668,-0.0960031,0.0702123
53,67.8909,-9.08984,-7.64269,-7.64856,-0.0799536,0.0396343,-0.095225
54,84.6886,-3.11731,-5.84868,-5.9925,0.0114273,0.0726412,-0.0202019
55,88.7096,3.68701,6.36771,-8.68512,-0.02251,-0.0475403,0.020704
56,56.2343,-2.07672,5.60479,6.18933,-0.0619747,0.00700052,0.0298457
57,99.7507,-0.751842,4.17312,-4.69681,-0.0685787,-0.0703119,-0.0467485
58,30.3607,-8.32078,-0.843883,-7.59095,0.0431532,-0.0949824,-0.0378872
59,16.9789,0.558516,8.45392,5.74377,0.0517962,-0.0259863,-0.032563
60,84.6505,1.49033,-5.88308,6.46364,0.0899671,0.0561366,0.00228595
61,77.6091,-1.28789,-9.01036,7.12429,-0.00246794,0.0173427,-0.0640826
62,25.7602,-6.7712,-0.312009,1.81369,0.0262077,0.0425366,-0.0545048
63,67.6497,2.95082,-6.79339,-3.67503,-0.0387646,0.0100541,0.0907648
64,83.311,-8.81086,-7.61192,-3.99263,-0.0684991,0.00552315,-0.0702415
65,33.695,-7.56031,-5.92078,-6.65504,-0.0256352,-0.0847727,0.0540825
66,67.0575,-9.41454,-8.45541,4.98832,-0.0709166,-0.0907288,-0.0740564
67,86.2555,-7.32507,-6.63414,3.52311,0.0700296,-0.022607,-0.0511826
68,2.61738,5.06923,9.39769,-4.59116,0.0845213,-0.0352541,0.0547421
69,45.9573,2.5492,-1.47273,-4.91553,-0.0866123,0.04558,0.00882448
70,37.02,-5.66045,2.3635,-5.56295,-0.0303413,0.0635374,-0.097889
71,78.9023,-0.454532,-1.95028,-3.12917,0.0151581,0.0191629,-0.0877474
72,9.56018,5.9727,4.91669,-7.16281,0.000374099,-0.0811501,-0.0976862
73,88.1015,3.56488,-7.33174,-8.80026,-0.0784599,-0.0601513,-0.0717058
74,2.37753,8.5486,-1.65126,4.35453,0.077988,-0.0397313,-0.0270238
75,63.6747,-8.4216,7.78475,2.93025,-0.0879196,0.0135462,0.0547329
76,93.1652,-3.42327,-0.708339,4.05314,0.0511251,0.0861598,0.0774368
77,44.9416,-8.12258,6.17098,-0.598792,0.0868837,-0.0665715,-0.020355
78,20.8325,4.13908,-1.26531,4.68927,-0.0231299,-0.0913058,-0.0716804
79,2.24382,0.000882684,9.51553,0.903852,0.0654859,0.0970899,-0.00765409
80,42.8632,9.64723,7.59795,-6.41474,0.0457051,-0.00688869,-0.00637069
81,64.0201,2.51755,-9.65471,7.57385,0.0781425,0.0245994,0.0449421
82,30.9307,-0.273901,7.83732,7.92389,0.0464682,-0.0964139,0.0498228
83,80.8271,-9.63519,-7.54383,-6.61259,-0.0712688,-0.0432754,-0.0661445
84,34.3782,-4.41245,4.00985,7.93102,0.0981435,0.098638,-0.0114473
85,42.0867,-5.42906,9.19162,-1.36943,0.0776976,-0.0213467,0.0867384
86,76.9679,-9.39735,1.48453,5.13908,-0.0873516,-0.0580442,-0.0119422
87,14.8966,-5.19713,-8.76386,3.11514,0.0202524,0.0799569,-0.046891
88,45.9816,0.217545,4.38862,7.26072,-0.0493217,-0.0726856,0.0876232
89,72.6309,-9.61556,-0.761503,3.2642,-0.0634051,0.0502084,0.0289772
90,5.56048,-9.78526,-5.14104,-8.40949,-0.0249222,-0.0567448,-0.0773515
91,7.13105,8.30122,7.6864,0.393522,0.059914,-0.01731,0.0347352
92,69.8703,-7.15133,-9.70266,2.30464,-0.0029701,-0.0559296,-0.0231865
93,58.9623,-6.5746,-6.25366,-2.308,0.0861671,-0.0683461,-0.0624586
94,33.8366,-2.01493,-6.79721,7.33498,0.030847,-0.0720082,0.0578877
95,13.9501,2.3876,1.80008,-4.23103,0.0437025,0.00681079,-0.026313
96,67.706,4.71366,-0.969568,6.12755,-0.0793575,0.0571325,0.0650099
97,33.36,-6.02358,7.09643,6.84507,0.0765797,-0.092297,0.0397007
98,61.2034,-0.130277,5.08842,7.09618,0.0312164,0.0724586,0.0604575
99,98.8246,-4.23647,2.76596,6.69239,0.082365,0.0500097,0.00778612
100,34.2687,-0.744072,0.972825,8.5494,-0.0870465,0.0911953,0.0232268
101,74.4941,-6.62336,-4.08315,-9.49767,-0.0785514,0.0411079,0.008533
102,82.2894,-3.31751,5.23177,-5.79089,0.0810501,0.0492883,0.0792752
103,89.6548,5.5679,1.42183,-7.99805,0.014037,-0.0115825,0.0697652
104,37.1768,7.38381,6.67592,-7.42201,0.0904703,0.0391997,-0.0409238
105,16.4826,-3.7076,-3.11647,-6.24994,0.0339326,-0.015864,-0.0444539
106,1.95454,-4.86494,6.53389,0.927954,-0.0583257,0.0315241,-0.00285362
107,25.2594,9.6651,6.91575,3.4154,0.0102439,-0.0603122,-0.0493902
108,84.3643,-5.31683,2.60805,1.45756,0.0157938,-0.012647,-0.0521796
109,54.3269,2.61742,-6.021,-1.69249,0.0615359,0.0632523,0.0869082
110,65.399,0.20219,-6.859,-0.741646,-0.057152,0.00834262,-0.036251
111,39.052,-7.87505,5.23981,-8.71699,-0.0522922,0.00642417,-0.0284693
112,29.4839,6.03452,8.85568,-4.78079,-0.091413,-0.0910909,0.0285771
113,46.6166,2.48727,1.3476,-5.14038,0.0281661,-0.0897148,0.0148632
114,72.3951,6.89277,3.65245,4.58362,-0.0286753,0.0947076,-0.0422854
115,83.8403,-2.33577,1.32353,2.90468,0.045821,-0.0302338,0.0933673
116,42.9498,0.327061,1.83268,2.81884,-0.0948119,-0.0791922,0.0558588
