Body 0: m=1.000000e+10  x=9.330792 y=22.615119 z=-0.149205  vx=-0.169652 vy=-0.047708 vz=-0.280689
Body 1: m=1.000000e+10  x=-79.242720 y=110.690765 z=53.550420  vx=-3.774983 vy=5.187816 vz=2.821505
Body 2: m=5.000000e+09  x=-7.322217 y=-32.758264 z=-13.196708  vx=-5.376345 vy=-31.504243 vz=-4.269433
Body 3: m=5.000000e+09  x=-0.250297 y=1.087210 z=26.604668  vx=0.031654 vy=0.278025 vz=0.078219
Body 4: m=1.000000e+09  x=-2.206272 y=-2.528250 z=-3.681568  vx=-0.671174 vy=-0.375246 vz=1.324031
Body 5: m=1.999000e+09  x=294.491966 y=1506.297064 z=166.211311  vx=5.899247 vy=30.161558 vz=3.339365
Body 6: m=1.921000e+09  x=-2210.734301 y=584.036661 z=551.650250  vx=-44.259631 vy=11.704603 vz=11.063525
Body 7: m=1.528000e+09  x=203.746331 y=311.273331 z=1.053098  vx=4.033614 vy=6.154341 vz=0.013846
Body 8: m=1.721000e+09  x=742.132889 y=794.549892 z=-83.904536  vx=14.856514 vy=15.912624 vz=-1.667436
Body 9: m=1.938000e+09  x=381.853068 y=357.552379 z=-279.657694  vx=7.627822 vy=7.140422 vz=-5.583025
Body 10: m=1.761000e+09  x=-3.210471 y=11.907531 z=-9.336820  vx=0.286783 vy=-0.932909 vz=-0.577737
Body 11: m=1.323000e+09  x=-7.069073 y=-19.364305 z=4.908194  vx=0.121927 vy=0.019718 vz=-0.150460
Body 12: m=1.065000e+09  x=-2.259686 y=8.038961 z=-5.118779  vx=-1.124087 vy=-0.142533 vz=0.703387
Body 13: m=1.417000e+09  x=-224.405035 y=5.466205 z=-201.958120  vx=-5.315637 vy=0.134713 vz=-4.795238
Body 14: m=1.355000e+09  x=-1.928693 y=10.553000 z=-4.233318  vx=-1.104367 vy=-0.880852 vz=-1.429273
Body 15: m=1.932000e+09  x=-993.683657 y=1016.561159 z=-346.766388  vx=-19.886340 vy=20.348579 vz=-6.949850
Body 16: m=1.121000e+09  x=220.835683 y=141.092286 z=67.888411  vx=4.302218 vy=2.748454 vz=1.335564
Body 17: m=1.650000e+09  x=-5.886642 y=18.214573 z=8.266009  vx=-0.561197 vy=1.226941 vz=1.199256
Body 18: m=1.230000e+09  x=-501.423151 y=-349.158993 z=-409.174088  vx=-9.375006 vy=-7.110527 vz=-7.491945
Body 19: m=1.811000e+09  x=-2.391754 y=16.474412 z=-2.540342  vx=-0.257303 vy=-0.643495 vz=-1.054209
Body 20: m=1.528000e+09  x=100.103649 y=-560.612122 z=423.644093  vx=2.004123 vy=-11.222301 vz=8.477596
Body 21: m=1.272000e+09  x=-2.799231 y=8.159133 z=-5.533444  vx=-1.250095 vy=0.979938 vz=0.881766
Body 22: m=1.763000e+09  x=4.558264 y=3.521000 z=-12.572976  vx=-0.442033 vy=-1.132953 vz=0.769345
Body 23: m=1.296000e+09  x=1.738431 y=4.958282 z=-8.865239  vx=0.797429 vy=1.868889 vz=1.934532
Body 24: m=1.284000e+09  x=-175.546655 y=101.373916 z=-378.529223  vx=-3.694833 vy=2.117584 vz=-7.894982
Body 25: m=1.465000e+09  x=7345.727590 y=-4131.718784 z=263.087135  vx=147.097986 vy=-82.758771 vz=5.276798
Body 26: m=1.239000e+09  x=-410.157860 y=1567.339945 z=-852.352340  vx=-8.228825 vy=31.450901 vz=-17.102000
Body 27: m=1.440000e+09  x=10.047382 y=9.667690 z=-8.065847  vx=0.187071 vy=-0.388058 vz=-0.595311
Body 28: m=1.966000e+09  x=-3.100733 y=4.837963 z=-7.860443  vx=0.513539 vy=-0.244910 vz=2.291573
Body 29: m=1.881000e+09  x=858.199144 y=360.042858 z=-171.287923  vx=18.069823 vy=7.574019 vz=-3.589060
Body 30: m=1.833000e+09  x=-330.113386 y=303.456966 z=269.763537  vx=-6.580118 vy=6.048260 vz=5.359595
